date,average_price_cpl,station_count,observation_count
2026-03-01,190.3967320261438,122,153
2026-03-02,187.69245901639346,207,305
2026-03-03,206.55202020202023,449,594
2026-03-04,202.78300653594772,194,306
2026-03-05,208.40337078651686,141,178
2026-03-06,213.07899543378997,178,219
2026-03-07,212.79894736842107,79,95
2026-03-08,212.87460317460318,48,63
2026-03-09,216.00409836065575,80,122
2026-03-10,216.52360248447206,129,161
2026-03-11,217.5668918918919,116,148
2026-03-12,219.67623762376238,82,101
2026-03-13,227.04822134387354,202,253
2026-03-14,228.8128272251309,341,382
2026-03-15,227.034375,51,64
2026-03-16,230.24777777777777,73,90
2026-03-17,231.81,75,90
2026-03-18,239.04008810572685,165,227
2026-03-19,239.2898238747554,428,511
2026-03-20,244.225,172,224
2026-03-21,245.42707581227438,185,277
2026-03-22,242.68048780487803,72,82
2026-03-23,248.12232415902142,281,327
2026-03-24,249.48097165991905,195,247
2026-03-25,251.68320610687022,111,131
2026-03-26,252.89114391143912,177,271
2026-03-27,253.69397590361444,321,415
2026-03-28,257.12716417910445,288,335
2026-03-29,257.869921875,223,256
2026-03-30,257.5952380952381,153,210
2026-03-31,253.17751479289942,128,169
